Date,Time,Open,Close,Mean Value,5 Day SMA,15 Day SMA,30 Day SMA,Adva,Decl,AvgGain,AvgLoss,RSI
2010.09.15,0:00,1.2987,1.2985,1.29995,1.29373,1.284983333,1.277896667,0,0.0002,0.00253,0.00077,76.62338
2010.09.15,4:00,1.2984,1.2992,1.29745,1.29585,1.2867,1.278803333,0.0008,0,0.00259,0.00053,83.02752
2010.09.15,8:00,1.2993,1.2978,1.2986,1.29837,1.288596667,1.279773333,0,0.0015,0.00204,0.00064,76.20321
2010.09.15,12:00,1.2977,1.2991,1.2986,1.29903,1.29018,1.280701667,0.0014,0,0.00205,0.00064,76.32979
2010.09.15,16:00,1.2993,1.3018,1.30095,1.29911,1.29162,1.281593333,0.0025,0,0.00219,0.00064,77.46835
2010.09.15,20:00,1.3018,1.3012,1.30095,1.29931,1.292926667,1.282545,0,0.0006,0.00201,0.00068,74.73404
2010.09.16,0:00,1.3012,1.3002,1.3003,1.29988,1.294156667,1.28346,0,0.001,0.00166,0.00075,68.93491
2010.09.16,4:00,1.3001,1.2986,1.2989,1.29994,1.29503,1.284391667,0,0.0015,0.00165,0.00086,65.81197
2010.09.16,8:00,1.2986,1.308,1.303,1.30082,1.29608,1.285495,0.0094,0,0.00232,0.00081,74.03189
2010.09.16,12:00,1.308,1.3066,1.3078,1.30219,1.297526667,1.286633333,0,0.0014,0.00231,0.00091,71.61863
2010.09.16,16:00,1.3065,1.3076,1.3087,1.30374,1.298926667,1.28787,0.0011,0,0.00239,0.00067,78.03738
2010.09.16,20:00,1.3077,1.3074,1.308,1.30528,1.300336667,1.28914,0,0.0003,0.00204,0.00069,74.67363
2010.09.17,0:00,1.3074,1.3077,1.30705,1.30691,1.30174,1.290455,0.0003,0,0.00111,0.00069,61.50794
2010.09.17,4:00,1.3077,1.3136,1.31105,1.30852,1.30279,1.291933333,0.0059,0,0.00153,0.00046,76.70251
2010.09.17,8:00,1.3136,1.3131,1.31365,1.30969,1.303663333,1.293361667,0,0.0005,0.00153,0.00049,75.88652
2010.09.17,12:00,1.3131,1.3077,1.3085,1.30965,1.304233333,1.294608333,0,0.0054,0.00147,0.00087,62.80488
2010.09.17,16:00,1.3076,1.3048,1.30475,1.309,1.30472,1.29571,0,0.0028,0.00147,0.00096,60.41056
2010.09.17,20:00,1.3048,1.3048,1.3044,1.30847,1.305106667,1.296851667,0,0,0.00137,0.00096,58.7156
2010.09.20,0:00,1.305,1.3072,1.30535,1.30733,1.305556667,1.297868333,0.0022,0,0.00135,0.00096,58.33333
2010.09.20,4:00,1.3073,1.3078,1.30745,1.30609,1.30599,1.298805,0.0005,0,0.00139,0.00092,60.06192
2010.09.20,8:00,1.3077,1.3094,1.3093,1.30625,1.306546667,1.299736667,0.0017,0,0.00151,0.00085,63.93939
2010.09.20,12:00,1.3095,1.3056,1.3064,1.30658,1.306953333,1.300555,0,0.0039,0.00151,0.00102,59.60452
2010.09.20,16:00,1.3054,1.3065,1.3074,1.30718,1.30752,1.301275,0.0011,0,0.00091,0.00102,47.23247
2010.09.20,20:00,1.3065,1.3062,1.30595,1.3073,1.307716667,1.301898333,0,0.0003,0.00091,0.00094,49.23077
2010.09.21,0:00,1.3061,1.3089,1.30765,1.30734,1.307706667,1.302616667,0.0028,0,0.00104,0.00094,52.34657
2010.09.21,4:00,1.309,1.3091,1.30885,1.30725,1.307716667,1.303321667,0.0001,0,0.00104,0.00092,53.09091
2010.09.21,8:00,1.3091,1.3138,1.3106,1.30809,1.30789,1.304113333,0.0047,0,0.00136,0.00092,59.56113
2010.09.21,12:00,1.3139,1.3134,1.3127,1.30915,1.308266667,1.305003333,0,0.0005,0.00094,0.00096,49.43396
2010.09.21,16:00,1.3133,1.3133,1.3129,1.31054,1.30839,1.30559,0,0,0.00094,0.00092,50.38462
2010.09.21,20:00,1.3134,1.3249,1.31955,1.31292,1.308783333,1.306223333,0.0115,0,0.00176,0.00054,76.63551
2010.09.22,0:00,1.3249,1.3289,1.32785,1.31672,1.310073333,1.307153333,0.004,0,0.00204,0.00034,85.88589
2010.09.22,4:00,1.3289,1.3292,1.3299,1.32058,1.31175,1.308235,0.0003,0,0.00206,0.00034,86.0119
2010.09.22,8:00,1.3293,1.3373,1.3329,1.32462,1.31365,1.309378333,0.008,0,0.00248,0.00034,88.07107
2010.09.22,12:00,1.3373,1.3418,1.33985,1.33001,1.31595,1.310753333,0.0045,0,0.00276,0.00034,89.17051
2010.09.22,16:00,1.3419,1.3378,1.3387,1.33384,1.318033333,1.312011667,0,0.0041,0.00264,0.00063,80.78603
2010.09.22,20:00,1.3378,1.3399,1.3392,1.33611,1.320026667,1.313286667,0.0021,0,0.00279,0.00035,88.86364
2010.09.23,0:00,1.3399,1.3394,1.3395,1.33803,1.322233333,1.314593333,0,0.0005,0.00271,0.00039,87.5576
2010.09.23,4:00,1.3394,1.3396,1.3396,1.33937,1.32438,1.31595,0.0002,0,0.00273,0.00036,88.22171
2010.09.23,8:00,1.3397,1.334,1.3366,1.33872,1.326423333,1.31707,0,0.0057,0.00253,0.00077,76.62338
2010.09.23,12:00,1.334,1.3317,1.3343,1.33784,1.3282,1.317953333,0,0.0023,0.00252,0.00094,72.93388
2010.09.23,16:00,1.3317,1.3343,1.33345,1.33669,1.32984,1.318778333,0.0026,0,0.00237,0.00094,71.70626
2010.09.23,20:00,1.3344,1.3313,1.3329,1.33537,1.331326667,1.319608333,0,0.0031,0.00237,0.00112,67.89366
2010.09.24,0:00,1.3313,1.3327,1.33085,1.33362,1.332536667,1.320401667,0.0014,0,0.00247,0.00112,68.78728
2010.09.24,4:00,1.3326,1.3333,1.3334,1.33298,1.333903333,1.321146667,0.0007,0,0.0017,0.00112,60.25316
2010.09.24,8:00,1.3334,1.3422,1.3365,1.33342,1.335033333,1.321908333,0.0088,0,0.00204,0.00112,64.55982
2010.09.24,12:00,1.3423,1.3463,1.34355,1.33544,1.33608,1.323076667,0.004,0,0.00231,0.00112,67.29167
2010.09.24,16:00,1.3462,1.3464,1.34725,1.33831,1.337236667,1.324493333,0.0002,0,0.00175,0.00112,60.94527
2010.09.24,20:00,1.3464,1.349,1.3477,1.34168,1.338223333,1.325936667,0.0026,0,0.00161,0.00112,59.00783
2010.09.27,0:00,1.3483,1.3458,1.34705,1.34441,1.338703333,1.327326667,0,0.0025,0.00161,0.00101,61.58038
2010.09.27,4:00,1.3457,1.3465,1.3466,1.34643,1.33923,1.328631667,0.0008,0,0.00152,0.00101,60.16949
2010.09.27,8:00,1.3465,1.3459,1.34505,1.34673,1.33962,1.329823333,0,0.0006,0.00152,0.00101,60
2010.09.27,12:00,1.3458,1.3456,1.3475,1.34678,1.340153333,1.331193333,0,0.0002,0.00151,0.00103,59.43662
2010.09.27,16:00,1.3456,1.3477,1.34675,1.34659,1.34063,1.332505,0.0021,0,0.00166,0.00062,72.72727
2010.09.27,20:00,1.3477,1.3439,1.346,1.34638,1.341256667,1.33384,0,0.0038,0.00166,0.00073,69.46108
2010.09.28,0:00,1.3439,1.3439,1.34365,1.34579,1.34188,1.33504,0,0,0.00147,0.00073,66.88312
2010.09.28,4:00,1.3439,1.3449,1.34545,1.34587,1.34268,1.33626,0.001,0,0.00154,0.00051,75.26132
2010.09.28,8:00,1.345,1.3477,1.3436,1.34509,1.343393333,1.33736,0.0027,0,0.00164,0.00051,76.33333
